Health Authority,Facility Name,Location City,Latitude,Longitude,Beds,Beds Raw,Beds Source URL,Hospital Page URL
Interior Health,Lillooet Hospital & Health Centre,Lillooet,50.68944,-121.93861,,,,https://en.wikipedia.org/w/index.php?title=Lillooet_Hospital_%26_Health_Centre&action=edit&redlink=1
Interior Health,Nicola Valley Hospital and Health Centre,Merritt,50.12194,-120.77306,,,,https://en.wikipedia.org/w/index.php?title=Nicola_Valley_Hospital_and_Health_Centre&action=edit&redlink=1
Interior Health,Penticton Regional Hospital,Penticton,49.48194,-119.57806,140.0,140,https://en.wikipedia.org/wiki/Penticton_Regional_Hospital,https://en.wikipedia.org/wiki/Penticton_Regional_Hospital
Interior Health,Princeton General Hospital,Princeton,49.45417,-120.52667,,,,https://en.wikipedia.org/w/index.php?title=Princeton_General_Hospital&action=edit&redlink=1
Interior Health,Queen Victoria Hospital,Revelstoke,50.9775,-118.19056,,,,"https://en.wikipedia.org/w/index.php?title=Queen_Victoria_Hospital,_Revelstoke&action=edit&redlink=1"
Interior Health,Royal Inland Hospital,Kamloops,50.66889,-120.33222,224.0,224,https://en.wikipedia.org/wiki/Royal_Inland_Hospital,https://en.wikipedia.org/wiki/Royal_Inland_Hospital
Interior Health,Shuswap Lake General Hospital,Salmon Arm,50.70417,-119.27389,,,,https://en.wikipedia.org/w/index.php?title=Shuswap_Lake_General_Hospital&action=edit&redlink=1
Interior Health,South Okanagan General Hospital,Oliver,49.18333,-119.53833,,,,https://en.wikipedia.org/wiki/South_Okanagan_General_Hospital
Interior Health,St. Bartholomew's Hospital (defunct) [ 7 ],Lytton,50.23194,-121.58111,,,,"https://en.wikipedia.org/w/index.php?title=St._Bartholomew%27s_Hospital,_Lytton&action=edit&redlink=1"
Interior Health,Vernon Jubilee Hospital,Vernon,50.2575,-119.27222,196.0,196,https://en.wikipedia.org/wiki/Vernon_Jubilee_Hospital,https://en.wikipedia.org/wiki/Vernon_Jubilee_Hospital
Island Health,Cowichan District Hospital,Duncan,48.78583,-123.72278,,,,https://en.wikipedia.org/w/index.php?title=Cowichan_District_Hospital&action=edit&redlink=1
Island Health,Lady Minto Gulf Islands Hospital,Saltspring Island,48.86194,-123.50833,,,,https://en.wikipedia.org/w/index.php?title=Lady_Minto_Gulf_Islands_Hospital&action=edit&redlink=1
Island Health,Nanaimo Regional General Hospital,Nanaimo,49.18472,-123.96944,,,,https://en.wikipedia.org/w/index.php?title=Nanaimo_Regional_General_Hospital&action=edit&redlink=1
Island Health,North Island Hospital Campbell River & District,Campbell River,50.00917,-125.2425,,,,https://en.wikipedia.org/w/index.php?title=North_Island_Hospital_Campbell_River_%26_District&action=edit&redlink=1
Island Health,North Island Hospital Comox Valley,Courtenay,49.71222,-124.96944,,,,https://en.wikipedia.org/w/index.php?title=North_Island_Hospital_Comox_Valley&action=edit&redlink=1
Island Health,Port Hardy Hospital,Port Hardy,50.72083,-127.50306,,,,https://en.wikipedia.org/w/index.php?title=Port_Hardy_Hospital&action=edit&redlink=1
